actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
3179,26.254932,476850,0.99750805,0.87561035,0.45174417,-11.026304,10753,1612950,7215,5271.530013084412,-96.10225,-0.426025,2.1374474,94.804909567568
3184,26.39891,477600,0.9974952,0.86950684,0.48095345,-13.135773,10772,1615800,7229,5281.552862405777,-95.048355,-0.46971077,2.362076,100.76757784712454
3191,26.773186,478650,0.99745464,0.86517334,0.50393105,-14.782455,10789,1618350,7243,5292.049298048019,-93.53577,-0.50439,2.4405785,74.97147913099312
3196,25.871078,479400,0.99738955,0.8563843,0.51329404,-11.711694,10807,1621050,7257,5302.152809143066,-90.82976,-0.49568456,2.3710742,96.71711674058808
3203,24.535341,480450,0.99740815,0.848938,0.54550517,-12.412858,10825,1623750,7271,5312.607491493225,-87.58571,-0.5659152,2.1520329,76.05166523781705
3208,25.93951,481200,0.9975295,0.88031006,0.42848063,-12.456775,10842,1626300,7285,5322.659316301346,-94.68766,-0.39380616,2.3515787,97.79226187960754
3215,26.663635,482250,0.99751973,0.8743286,0.4557777,-13.301966,10857,1628550,7299,5333.1700530052185,-95.75208,-0.46352425,2.373632,62.357068322612
3220,25.34211,483000,0.99747944,0.87249756,0.4567669,-12.342379,10876,1631400,7313,5343.274349451065,-93.57449,-0.4487828,2.27636,99.27695536640526
3225,24.329556,483750,0.99749136,0.86968994,0.48779482,-11.860668,10895,1634250,7327,5353.505996465683,-91.661354,-0.45605874,2.1614618,73.29507857428774
3232,26.183777,484800,0.9975383,0.8740845,0.4388039,-13.730241,10911,1636650,7341,5363.8109340667725,-92.921005,-0.41810906,2.2856703,100.39943373820678
3237,26.710653,485550,0.9975238,0.87609863,0.47213933,-13.282122,10929,1639350,7355,5374.029919624329,-92.67325,-0.45350617,2.2044194,75.47786898221527
3244,27.274677,486600,0.9974265,0.87072754,0.46644065,-11.665018,10947,1642050,7369,5384.2882969379425,-94.62892,-0.46471155,2.4977999,102.24095054766336
3249,26.577318,487350,0.99747586,0.87286377,0.48138043,-12.113752,10966,1644900,7383,5394.559275627136,-91.4008,-0.4500331,2.3995066,73.58184007602819
3256,26.654133,488400,0.9974816,0.8730469,0.4720858,-10.227263,10985,1647750,7397,5404.834729194641,-94.88724,-0.42107293,2.1237502,102.33972300250402
3261,26.33407,489150,0.9974458,0.85717773,0.5205475,-14.015151,11003,1650450,7411,5415.258642911911,-94.54166,-0.5110185,2.4051485,76.1441043910113
3268,24.479908,490200,0.9974227,0.8598633,0.51079744,-9.399998,11023,1653450,7425,5425.6273403167725,-90.99877,-0.5111376,2.6978924,99.51994863016873
3273,26.383343,490950,0.99746966,0.85791016,0.50363725,-11.845284,11039,1655850,7439,5435.660933732986,-90.73857,-0.48792258,2.421612,101.52496374857509
3280,25.398369,492000,0.99748206,0.87268066,0.48325378,-11.835016,11060,1659000,7453,5446.17377448082,-90.85281,-0.47253022,2.2286556,101.38297572606342
3285,26.027145,492750,0.9974544,0.8658447,0.47686553,-12.537449,11078,1661700,7467,5456.245097160339,-90.19063,-0.4531383,2.4411168,98.89595118044211
3292,26.87091,493800,0.99754214,0.8834839,0.4211543,-10.673324,11098,1664700,7481,5466.811027765274,-95.01934,-0.399528,2.3337293,97.83185857801735
3297,25.712927,494550,0.99749374,0.8734741,0.47729808,-11.404193,11117,1667550,7495,5476.81666970253,-90.828316,-0.43602964,3.653625,101.341026784248
3303,25.176971,495450,0.99756575,0.8685303,0.5008427,-11.1384,11135,1670250,7509,5487.334382534027,-91.55248,-0.47269875,2.334951,74.36748364976434
3309,25.560675,496350,0.9974668,0.86242676,0.50169384,-11.036452,11154,1673100,7523,5497.472022294998,-91.64477,-0.46858063,2.411694,100.31775150494123
3315,24.17995,497250,0.9975295,0.86157227,0.5214184,-10.532953,11171,1675650,7537,5507.93821310997,-87.94716,-0.47328532,2.4988046,74.38594834406439
3321,23.983683,498150,0.9974768,0.8648071,0.498551,-12.219893,11194,1679100,7551,5518.016722202301,-88.74192,-0.46637946,2.3681712,99.68133516726725
3328,22.734135,499200,0.99743676,0.85479736,0.5284022,-12.386663,11210,1681500,7565,5528.580572605133,-84.65199,-0.45409444,2.2417932,74.80557188885874
3333,22.872688,499950,0.9974766,0.85754395,0.52607334,-9.837325,11231,1684650,7579,5538.701632261276,-84.63365,-0.50601983,2.5052347,100.07159766093034
3339,22.838837,500850,0.9974439,0.8572998,0.51503927,-11.944542,11249,1687350,7593,5549.289941549301,-86.398895,-0.48673236,2.5629005,74.13118105143566
3345,24.124866,501750,0.9974623,0.86517334,0.509392,-11.58659,11267,1690050,7607,5559.360450744629,-90.6272,-0.5023484,2.5857797,101.99043377063619
3352,22.694946,502800,0.9974618,0.8577881,0.5321619,-10.91222,11287,1693050,7621,5569.93674826622,-85.545395,-0.50986266,2.1137903,73.10015249880179
3358,23.795233,503700,0.9974625,0.8568115,0.53129065,-9.969751,11303,1695450,7635,5580.249988794327,-87.70234,-0.4740333,2.230872,74.3936171834317
3363,23.50172,504450,0.9974711,0.87268066,0.5012466,-10.486046,11323,1698450,7649,5590.359426736832,-89.18898,-0.48507288,2.200596,99.34691215880379
3370,24.990547,505500,0.99743986,0.8640137,0.49765858,-9.388575,11341,1701150,7663,5600.856232404709,-89.8855,-0.483128,2.36631,77.65407365343376
3375,23.21067,506250,0.99742246,0.8414917,0.5956084,-9.781694,11364,1704600,7677,5610.873854160309,-83.314285,-0.60428727,2.358439,73.5420867358722
3382,23.41054,507300,0.99743724,0.8539429,0.5473294,-10.719328,11380,1707000,7691,5621.373440980911,-84.78853,-0.51745,2.2766662,98.30942429928996
3387,25.242672,508050,0.99749947,0.8743286,0.45618048,-10.870808,11400,1710000,7705,5631.444191455841,-90.74701,-0.42684788,2.41998,73.8993658818328
3394,24.011786,509100,0.9974735,0.8555298,0.51293993,-11.304842,11420,1713000,7719,5641.904321908951,-84.93898,-0.50644445,2.2218065,98.43931801271255
3399,24.351429,509850,0.99750066,0.8574829,0.5354868,-10.318966,11441,1716150,7733,5651.940490961075,-87.22897,-0.5105368,2.3275323,74.41168231073752
3406,24.797493,510900,0.99754167,0.8709717,0.4878624,-9.552756,11458,1718700,7747,5662.34645986557,-88.78729,-0.48162603,2.683794,98.45809316558545
3411,23.519144,511650,0.9975178,0.871521,0.49004304,-9.881029,11478,1721700,7761,5672.351546049118,-85.83769,-0.45857435,2.2707863,72.85147237423993
3418,24.00585,512700,0.9974508,0.8510742,0.5457593,-9.7070265,11495,1724250,7775,5682.800891160965,-82.44031,-0.5214678,2.1945522,97.5734734076524
3423,22.395714,513450,0.9974377,0.847229,0.57542706,-9.976515,11517,1727550,7789,5692.857256412506,-81.61369,-0.5690962,2.4537122,74.44980044874764
3430,23.643045,514500,0.99750185,0.8687744,0.5071776,-9.546734,11535,1730250,7803,5703.308048248291,-83.09749,-0.5133579,2.0039449,74.60517314646336
3435,22.8461,515250,0.997458,0.8564453,0.5290437,-10.96661,11558,1733700,7817,5713.625670909882,-83.12836,-0.4785524,2.3542585,74.4898593121254
3442,24.220669,516300,0.9975443,0.8694458,0.49786666,-10.773498,11576,1736400,7831,5724.105599164963,-84.26244,-0.48711187,2.1007524,73.79149563632085
3447,24.566525,517050,0.99750876,0.8569946,0.5327936,-11.958426,11596,1739400,7845,5734.177668571472,-84.039856,-0.5341719,2.3980265,97.1523907587128
3454,25.356884,518100,0.9974389,0.862854,0.482718,-8.901954,11614,1742100,7859,5744.740722417831,-87.53488,-0.45921057,2.3473544,73.12538284281236
3459,24.706133,518850,0.9974463,0.8502197,0.5636575,-11.429273,11634,1745100,7873,5754.8459458351135,-86.83482,-0.55202717,2.295734,71.61544490954542
3466,25.321209,519900,0.9974685,0.86639404,0.5033885,-9.406233,11650,1747500,7887,5765.280704021454,-84.55164,-0.49004042,2.2354615,78.21890065675967
3471,22.6998,520650,0.9974315,0.8418579,0.58988,-11.274269,11670,1750500,7901,5775.3642320632935,-80.92865,-0.5832046,2.345413,73.99849376168135
3477,24.764362,521550,0.99745345,0.85095215,0.56743395,-10.450758,11687,1753050,7915,5785.670629739761,-87.32296,-0.55555916,2.2656977,98.24951421593225
3483,24.021292,522450,0.99747396,0.86431885,0.516645,-10.591396,11704,1755600,7929,5795.928530216217,-83.50934,-0.49236697,2.243323,74.16903277180644
3489,23.696959,523350,0.99753714,0.85876465,0.52154326,-10.381683,11722,1758300,7943,5806.146862745285,-82.3374,-0.48766965,2.2402506,100.0805892789967
3495,24.031439,524250,0.9975009,0.86602783,0.49836665,-8.627217,11740,1761000,7957,5816.445588111877,-84.48996,-0.45202756,2.2656627,99.00252858301984
3501,22.954859,525150,0.997493,0.8679199,0.47481677,-10.155113,11760,1764000,7971,5826.754407405853,-81.07946,-0.48335946,2.217149,95.84800029421878
3506,23.888853,525900,0.9974642,0.84643555,0.5574353,-11.54105,11777,1766550,7985,5837.010041952133,-81.775345,-0.5380969,2.1743422,72.7783719535538
3513,22.585978,526950,0.9975381,0.8658447,0.5157908,-9.425967,11797,1769550,7999,5847.294306278229,-79.138855,-0.4819454,2.4444652,99.92125577430606
3519,23.111618,527850,0.99746203,0.84594727,0.5564152,-11.32805,11818,1772700,8013,5857.50550198555,-79.47084,-0.5176846,2.2505138,73.44357424878707
3526,23.231922,528900,0.9974561,0.86102295,0.50096905,-9.661131,11835,1775250,8027,5867.820496082306,-81.07944,-0.44503793,2.408133,99.55626763747168
3530,23.516254,529500,0.9974873,0.85791016,0.524229,-10.873271,11857,1778550,8041,5877.865474700928,-81.87337,-0.4824058,2.3353338,99.9943214899421
3537,24.50346,530550,0.99745727,0.8514404,0.5565244,-12.030653,11877,1781550,8055,5888.37988781929,-83.76959,-0.49538422,2.4787211,101.54658628749851
3542,23.152779,531300,0.99754596,0.8704834,0.48654795,-10.435247,11900,1785000,8069,5898.400913000107,-81.99661,-0.45632327,2.2345917,102.16689902379558
3549,22.294867,532350,0.99746513,0.8514404,0.5573939,-11.757853,11919,1787850,8083,5908.910793304443,-81.02017,-0.5259914,3.391693,98.74345175342117
3554,21.326946,533100,0.99740815,0.84606934,0.5722534,-11.433847,11941,1791150,8097,5918.974909067154,-77.50158,-0.51288736,2.2464952,100.78997640158975
3561,22.295364,534150,0.99745274,0.8511963,0.54546857,-8.724165,11959,1793850,8111,5929.460074663162,-80.02234,-0.48544455,2.1695724,100.19882434972683
3566,24.301052,534900,0.9974823,0.8599243,0.5299016,-10.769149,11980,1797000,8125,5939.543780088425,-83.67065,-0.49501815,2.095213,100.43778805636644
3573,23.496498,535950,0.9974921,0.8609009,0.5238385,-10.703414,12001,1800150,8139,5949.9697008132935,-82.03629,-0.53100157,2.268985,101.88030720977436
3578,22.869274,536700,0.99746585,0.85913086,0.5285666,-10.115288,12022,1803300,8153,5960.036155939102,-79.82803,-0.4806017,2.530301,100.48523616152178
3585,21.892147,537750,0.997473,0.85687256,0.5590135,-10.845684,12040,1806000,8167,5970.529887199402,-77.91972,-0.5418136,2.4126334,96.19318659479171
3590,22.001469,538500,0.9974401,0.85046387,0.55728686,-11.30211,12060,1809000,8181,5980.605811595917,-76.44495,-0.56204987,2.3100433,99.02962896831691
3597,23.517696,539550,0.99753284,0.8654175,0.49249732,-11.97991,12079,1811850,8195,5991.111280679703,-82.5056,-0.4685044,2.1883478,99.46408242423165
3602,21.28018,540300,0.99746776,0.86291504,0.5176634,-10.964484,12100,1815000,8209,6001.140281200409,-76.78142,-0.48150826,2.3601117,98.80636620591339
3609,22.253307,541350,0.9974959,0.85894775,0.5390564,-9.77406,12119,1817850,8222,6011.182631254196,-78.77351,-0.53996706,2.2294612,70.862316918097
3614,21.667747,542100,0.9974439,0.8475342,0.5864754,-11.934619,12138,1820700,8236,6021.250223398209,-76.254974,-0.5471442,2.1913176,96.08114992943406
3621,23.24472,543150,0.9975183,0.8612671,0.5151005,-10.928042,12160,1824000,8250,6031.767249107361,-79.08026,-0.4781705,2.24221,60.31446920166683
3626,20.364208,543900,0.99748254,0.8574219,0.54860103,-11.592146,12177,1826550,8264,6041.888160705566,-74.58586,-0.5753335,2.2826176,98.99015207584506
3633,22.46533,544950,0.99749804,0.85498047,0.5520414,-10.114481,12201,1830150,8278,6052.388833284378,-77.55358,-0.516241,2.086401,61.428508399765306
