actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
423,63450,-0.3162368,-0.2584168,-0.26093787,-0.11861989,150,0.0,1.0269216,0.9524285,0.96871436,0.8233882,0.71068484,0.69401175,0.7077765,0.70476836,0.71068484,0.69401175,0.7077765,0.6221919,25.140887256747778,0.0,0.0
431,64650,-0.20897418,-0.26388526,-0.26025757,-0.121488884,150,0.0,0.93517655,0.9746703,0.97159517,0.8264092,0.72620237,0.71078503,0.71133745,0.7049203,0.72620237,0.71078503,0.71133745,0.62386954,24.828420660279203,0.0,0.0
439,65850,-0.29464465,-0.26679215,-0.26199096,-0.12424056,150,0.0,0.97253144,0.98544264,0.9746173,0.82938826,0.6778868,0.71865046,0.7126263,0.7051476,0.6778868,0.71865046,0.7126263,0.6255672,25.252220938630593,0.0,0.0
447,67050,-0.24991858,-0.28442165,-0.26333317,-0.12696913,150,0.0,0.9929487,0.9736274,0.9741216,0.83181,0.74303013,0.68920577,0.7107885,0.7048409,0.74303013,0.68920577,0.7107885,0.6266783,25.306825533689548,0.0,0.0
455,68250,-0.23634273,-0.2975753,-0.26548526,-0.1298194,150,0.0,0.9894896,0.99475384,0.9750914,0.83458245,0.7531469,0.69717854,0.7096062,0.704763,0.7531469,0.69717854,0.7096062,0.6279686,23.524622148888586,0.0,0.0
463,69450,-0.23707736,-0.30441743,-0.27007568,-0.13314943,150,0.0,0.9888364,1.0046847,0.9784024,0.837812,0.75175905,0.7002673,0.7083268,0.70466256,0.75175905,0.7002673,0.7083268,0.6291894,25.210665706879514,0.0,0.0
471,70650,-0.30512565,-0.2940391,-0.2724241,-0.13576718,150,0.0,1.0342634,0.9895981,0.9788465,0.8403462,0.7291377,0.6955589,0.7064223,0.704579,0.7291377,0.6955589,0.7064223,0.6303823,25.359007907881928,0.0,0.0
479,71850,-0.30875516,-0.3078993,-0.27591565,-0.13871847,150,0.0,0.9975449,1.0111889,0.9794383,0.8433397,0.6887897,0.7032896,0.70352256,0.70462126,0.6887897,0.7032896,0.70352256,0.6316587,23.3785827793972,0.0,0.0
487,73050,-0.3460703,-0.3006142,-0.2779925,-0.14122938,150,0.0,1.0365758,1.0044168,0.9810631,0.84592897,0.6905055,0.7038026,0.7030706,0.7046996,0.6905055,0.7038026,0.7030706,0.6329307,23.228810646301916,0.0,0.0
495,74250,-0.27465963,-0.2983671,-0.28100654,-0.14379233,150,0.0,0.97376424,1.0183604,0.98616743,0.8487554,0.6991046,0.71999335,0.7051609,0.704963,0.6991046,0.71999335,0.7051609,0.6343494,23.115705912081076,0.0,0.0
