actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
215119,500.83765,2270750,0.99787307,0.9827881,0.06059935,-13.650957,357161,4013450,34737,41803.9235188961,-1322.1567,-0.054527834,0.8947312,77.30810265643824
215196,505.9928,2271520,0.997879,0.98480225,0.058278784,-16.111116,357279,4014630,34749,41814.00143170357,-1363.8945,-0.05765774,0.8528955,75.57381099583216
215275,523.97437,2272310,0.9978485,0.9840088,0.06020967,-14.534613,357401,4015850,34761,41824.11709856987,-1393.6196,-0.054831836,1.1057589,77.04253598335366
215353,521.0032,2273090,0.9978876,0.98327637,0.064902455,-15.512189,357525,4017090,34773,41834.215997457504,-1379.4819,-0.049637146,1.0828344,77.20744314900334
215428,512.9195,2273840,0.9979291,0.9864502,0.05385969,-16.838924,357640,4018240,34785,41844.287373781204,-1390.9263,-0.04595089,1.0931175,73.28549365484416
215504,529.5208,2274600,0.9978678,0.98413086,0.06562945,-14.526777,357760,4019440,34797,41854.30695223808,-1415.5354,-0.05999847,1.5267341,77.71715906606968
215582,545.6966,2275380,0.99789715,0.98461914,0.06450137,-15.907894,357875,4020590,34809,41864.371707201004,-1443.3687,-0.04078008,1.5511043,77.94225253554701
215663,533.75885,2276190,0.9978833,0.98150635,0.06747435,-14.461365,358000,4021840,34821,41874.50305724144,-1442.196,-0.05779688,1.3777809,76.8374450057964
215739,528.18176,2276950,0.99786687,0.9815674,0.070549816,-17.629944,358116,4023000,34833,41884.60389447212,-1413.4747,-0.06845909,1.6128423,74.3072281085606
215814,515.9209,2277700,0.9978657,0.9812622,0.07629581,-15.580097,358231,4024150,34845,41894.66128921509,-1394.0962,-0.06796614,1.936881,73.89767734820562
