actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
145,21750,0.18355352,150,0.0,204,30600,0.533613,0.71716654,0.37169006,376.03541206692717,0.0,0.0
148,22200,0.17835832,150,0.0,206,30900,0.53517455,0.71353287,0.36844215,147.1304279499021,0.0,0.0
149,22350,0.15781224,150,0.0,207,31050,0.5398255,0.69763774,0.34150618,147.141989797398,0.0,0.0
149,22350,0.123382926,150,0.0,209,31350,0.58022815,0.7036111,0.3603167,386.2265071779147,0.0,0.0
149,22350,0.084962785,150,0.0,212,31800,0.61900306,0.70396584,0.36056075,344.8533369582972,0.0,0.0
149,22350,-0.023925483,150,0.0,215,32250,0.6972525,0.673327,0.28609025,412.7038770755054,0.0,0.0
149,22350,0.022595942,150,0.0,218,32700,0.6691505,0.6917464,0.33307505,394.6587242990156,0.0,0.0
149,22350,-0.01855886,150,0.0,221,33150,0.7029047,0.68434584,0.31448781,425.86176436544696,0.0,0.0
151,22650,-0.0062887073,150,0.0,223,33450,0.6667487,0.66046,0.26646417,161.04379326250412,0.0,0.0
151,22650,-0.02882129,150,0.0,225,33750,0.7123816,0.6835603,0.32102376,390.64773529526815,0.0,0.0
152,22800,-0.027301848,150,0.0,227,34050,0.7380021,0.7107003,0.37697718,182.67922302932848,0.0,0.0
153,22950,-0.021187127,150,0.0,229,34350,0.6782917,0.65710455,0.26262638,221.30050261225412,0.0,0.0
153,22950,-0.033367395,150,0.0,232,34800,0.73531604,0.70194864,0.36605552,400.90562036460585,0.0,0.0
153,22950,-0.026694775,150,0.0,235,35250,0.68699706,0.6603023,0.26424164,433.4496050596458,0.0,0.0
153,22950,-0.037345827,150,0.0,238,35700,0.73313755,0.6957917,0.3468808,420.937637366865,0.0,0.0
154,23100,-0.035707653,150,0.0,241,36150,0.7369305,0.70122284,0.362085,306.3539365891853,0.0,0.0
155,23250,-0.033865333,150,0.0,242,36300,0.7430017,0.70913637,0.37617892,121.41615279378756,0.0,0.0
156,23400,-0.026072323,150,0.0,245,36750,0.74177325,0.7157009,0.37661904,166.94061765409046,0.0,0.0
157,23550,-0.047129154,150,0.0,248,37200,0.7079371,0.66080797,0.26340777,182.94232282399904,0.0,0.0
157,23550,-0.029653847,150,0.0,251,37650,0.73756814,0.7079143,0.3812456,395.0043823410491,0.0,0.0
157,23550,-0.034055233,150,0.0,254,38100,0.7376866,0.70363134,0.37242755,385.5665996422231,0.0,0.0
157,23550,-0.026154935,150,0.0,257,38550,0.74026734,0.7141124,0.38005596,405.0432632880099,0.0,0.0
158,23700,-0.05958152,150,0.0,259,38850,0.7159045,0.65632296,0.2709636,192.8073454550135,0.0,0.0
159,23850,-0.06477004,150,0.0,261,39150,0.71964914,0.6548791,0.29315725,218.46114635349807,0.0,0.0
160,24000,-0.064383626,150,0.0,264,39600,0.72332364,0.65894,0.30009276,155.23646368788556,0.0,0.0
161,24150,-0.06479943,150,0.0,266,39900,0.7320361,0.6672367,0.3226296,225.55268232646233,0.0,0.0
161,24150,-0.06590599,150,0.0,269,40350,0.72450006,0.6585941,0.31953683,408.30464288750596,0.0,0.0
161,24150,-0.06564784,150,0.0,272,40800,0.7262175,0.66056967,0.32571727,427.6137875910593,0.0,0.0
161,24150,-0.048601985,150,0.0,275,41250,0.7382614,0.6896594,0.36230618,421.45196459015074,0.0,0.0
164,24600,-0.042468727,150,0.0,277,41550,0.7457237,0.703255,0.3827558,135.63337878551064,0.0,0.0
164,24600,-0.064237356,150,0.0,279,41850,0.72899044,0.6647531,0.3417615,338.9387691773936,0.0,0.0
165,24750,-0.046234965,150,0.0,281,42150,0.7385421,0.6923071,0.36800998,156.8031327448803,0.0,0.0
166,24900,-0.060434043,150,0.0,283,42450,0.72845715,0.6680231,0.3539299,287.9514046854275,0.0,0.0
166,24900,-0.053450465,150,0.0,286,42900,0.7356214,0.6821709,0.38531747,379.0323717537426,0.0,0.0
166,24900,-0.059627175,150,0.0,289,43350,0.72518355,0.6655564,0.34978426,369.1646897357827,0.0,0.0
166,24900,-0.04926479,150,0.0,292,43800,0.74021477,0.69095,0.40307406,415.58842355372036,0.0,0.0
167,25050,-0.037609637,150,0.0,295,44250,0.75322485,0.7156152,0.43477258,183.26381697667205,0.0,0.0
169,25350,-0.053518772,150,0.0,297,44550,0.72805804,0.67453927,0.37015462,181.9041214155978,0.0,0.0
169,25350,-0.050379515,150,0.0,299,44850,0.7320474,0.68166786,0.38621148,402.3951360471557,0.0,0.0
170,25500,-0.0407629,150,0.0,301,45150,0.7533881,0.7126252,0.43521455,171.6720452978339,0.0,0.0
170,25500,-0.059630275,150,0.0,304,45600,0.72064215,0.6610119,0.3362799,430.8735394610054,0.0,0.0
170,25500,-0.05294341,150,0.0,307,46050,0.7185912,0.6656478,0.3527331,391.0554188110688,0.0,0.0
170,25500,-0.045381904,150,0.0,310,46500,0.7516103,0.7062284,0.43374893,426.1972762203086,0.0,0.0
171,25650,-0.04694414,150,0.0,312,46800,0.7347109,0.68776673,0.40029892,202.80587427140557,0.0,0.0
172,25800,-0.04025191,150,0.0,314,47100,0.7522851,0.7120332,0.4333967,187.22292435236307,0.0,0.0
173,25950,-0.048255563,150,0.0,317,47550,0.7041679,0.65591234,0.29219446,205.40384182797803,0.0,0.0
