actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
22540,289.47922,263760,0.997277,0.9197998,0.2652225,-33.231983,22217,334870,1767,2980.2924089431763,-712.80304,-0.2158446,5.7762938,48.16743977398028
22592,293.19714,264280,0.9972887,0.9237671,0.26414496,-33.024864,22311,335810,1775,2990.622046470642,-720.4837,-0.19279829,6.7899537,46.75553620245051
22644,289.35413,264800,0.99715924,0.91796875,0.29036474,-33.087517,22414,336840,1783,3001.984493494034,-721.7606,-0.18777986,8.687733,45.1548023123472
22687,279.92938,265230,0.99742174,0.9256592,0.22046576,-33.96945,22505,337750,1790,3013.1909396648407,-702.4536,-0.19584996,3.1143994,46.11020670241167
22733,286.19247,265690,0.99742866,0.9190674,0.2330054,-33.58638,22590,338600,1797,3024.856518268585,-714.02905,-0.1943937,3.8234391,36.69908483149908
22771,285.62494,266070,0.99742484,0.927063,0.2235615,-33.17089,22676,339460,1803,3036.0007948875427,-706.2096,-0.19131027,3.6663535,48.817727878569755
22816,287.06274,266520,0.99731874,0.9182739,0.24636948,-33.292213,22770,340400,1810,3047.3290827274323,-720.37195,-0.16872004,4.903305,22.868476178395195
22849,290.7345,266850,0.9973321,0.9268799,0.2373588,-33.02765,22834,341040,1815,3057.5888934135437,-722.1095,-0.19278596,5.3673735,35.44047670915001
22894,287.8711,267300,0.9973841,0.9230957,0.22885808,-32.821842,22925,341950,1822,3069.1660420894623,-703.3142,-0.19830671,3.5786328,30.08604840681007
22931,293.47485,267670,0.9973397,0.9237671,0.23359689,-32.490993,23002,342720,1828,3079.954850435257,-723.31104,-0.22880846,4.378629,34.07691199352675
22969,290.67145,268050,0.99741435,0.9232178,0.2196334,-32.92177,23084,343540,1834,3090.238914489746,-720.8352,-0.19702502,3.2515206,21.50882558654488
23014,286.6136,268500,0.9973912,0.9232788,0.23107672,-33.334045,23172,344420,1841,3101.138540506363,-698.0678,-0.19424781,4.0679283,41.73078029827349
23052,284.3741,268880,0.99739814,0.9217529,0.23118058,-32.939003,23250,345200,1847,3111.465891599655,-690.2312,-0.20306137,3.9372091,47.46769360644754
23097,291.72833,269330,0.9973736,0.9143677,0.23820856,-32.884766,23339,346090,1854,3122.0951545238495,-713.6144,-0.19432414,3.5729454,46.599276070665304
23142,286.11786,269780,0.9973564,0.9192505,0.24324068,-32.951546,23437,347070,1861,3134.8505806922913,-698.87354,-0.16896705,4.5233164,21.05020335778541
23180,283.07294,270160,0.99743795,0.9199219,0.2292875,-33.35606,23523,347930,1867,3145.569112300873,-690.6747,-0.19699691,2.632576,38.43809255970327
23212,278.88156,270480,0.99740076,0.91674805,0.23096277,-32.904545,23588,348580,1872,3155.9030907154083,-680.00244,-0.21333319,2.360329,34.722415947021936
23250,290.48282,270860,0.9974196,0.92059326,0.23117207,-32.55588,23665,349350,1878,3166.5573511123657,-701.60266,-0.17884517,2.752564,39.337196583801784
23303,277.3827,271390,0.997339,0.91796875,0.24232927,-33.37694,23770,350400,1886,3177.3327536582947,-663.2345,-0.2067478,3.252361,45.027622072228255
23347,294.9694,271830,0.9972758,0.91467285,0.2600953,-34.21644,23866,351360,1893,3188.5658905506134,-709.16187,-0.22465879,3.9987488,36.96435187563111
23385,281.1695,272210,0.9972925,0.91015625,0.25558013,-34.259247,23942,352120,1899,3198.609921693802,-673.9987,-0.22448558,3.0168853,39.88408636052294
23429,285.14618,272650,0.99736214,0.9177246,0.24537571,-34.49382,24026,352960,1906,3208.936112642288,-682.4994,-0.22298405,2.8335207,43.809938940210436
23475,303.9074,273110,0.9972086,0.9179077,0.2682538,-34.015976,24121,353910,1913,3220.2489993572235,-714.23346,-0.22545293,5.1730275,44.5855784704682
23525,299.09418,273610,0.99732375,0.91101074,0.2540896,-33.88218,24218,354880,1921,3231.4365797042847,-714.4761,-0.20840581,2.863532,45.56627047580248
23571,298.34924,274070,0.9972522,0.911438,0.2673869,-33.398514,24316,355860,1928,3242.0413081645966,-712.04724,-0.25070894,3.300184,49.21581474416657
23611,296.31436,274470,0.9972985,0.91400146,0.2541753,-33.34513,24390,356600,1934,3252.392378807068,-707.786,-0.2266956,3.5444226,47.90453480382971
23662,291.6891,274980,0.99729514,0.914917,0.24918431,-33.14808,24495,357650,1942,3263.6094439029694,-700.38043,-0.23222509,3.3429615,37.537288454137844
23701,300.16888,275370,0.9973717,0.9226074,0.2319479,-33.526672,24575,358450,1948,3274.195970773697,-717.05273,-0.19745116,3.1436095,28.301359972739817
23733,298.9115,275690,0.99721956,0.9180908,0.26654693,-33.187305,24641,359110,1953,3285.1521553993225,-719.277,-0.21694961,5.330091,31.650160529067964
23765,309.11273,276010,0.99730587,0.9187012,0.2508596,-33.100704,24716,359860,1958,3297.0021176338196,-734.28424,-0.19537662,4.1693153,27.285707765773584
23797,293.7149,276330,0.99735975,0.921875,0.23152618,-32.75296,24782,360520,1963,3307.5752127170563,-700.4226,-0.16572632,2.9722576,33.63575906093947
23829,300.82605,276650,0.99731874,0.9226074,0.24351756,-33.01502,24840,361100,1968,3317.8581414222717,-732.36743,-0.21379626,3.5919585,38.72003286440778
23866,299.0581,277020,0.99706626,0.920166,0.28985226,-33.147614,24917,361870,1974,3329.6239717006683,-711.83435,-0.20575504,8.267317,33.894585348083865
23899,305.83438,277350,0.9973111,0.9158325,0.2511565,-32.7303,24982,362520,1979,3339.9886202812195,-720.09973,-0.18673122,3.4841413,28.8423554430284
23938,298.44678,277740,0.9972153,0.9118042,0.27097714,-32.9926,25060,363300,1985,3351.4549465179443,-709.96045,-0.2349301,4.327257,35.418054779110385
23974,293.81696,278100,0.99729776,0.92163086,0.24942441,-32.60855,25140,364100,1991,3362.5975103378296,-704.85596,-0.23826146,4.058841,34.886226790045015
24006,302.26517,278420,0.9972906,0.9138794,0.25529575,-32.603333,25212,364820,1996,3373.048223733902,-729.17346,-0.19590321,3.966781,29.154281914861844
24045,299.388,278810,0.9973147,0.911499,0.26264358,-32.52237,25282,365520,2002,3384.250047683716,-724.485,-0.23625779,3.4923978,35.32509812803025
24084,290.9599,279200,0.9973569,0.91400146,0.24805947,-31.308428,25362,366320,2008,3395.1687955856323,-705.05145,-0.23061892,2.3911035,35.637577596748756
