actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
199,29850,-0.10326314,150,0.0,554,83100,0.83603936,0.7327762,0.7122865,242.77856541426036,0.0,0.0
200,30000,-0.123686194,150,0.0,557,83550,0.88091934,0.75723314,0.74227315,678.9030860820387,0.0,0.0
201,30150,-0.11806363,150,0.0,562,84300,0.87017477,0.75211114,0.7406171,468.39588085694373,0.0,0.0
201,30150,-0.16160858,150,0.0,566,84900,0.84888524,0.68727666,0.68727666,673.3013776475008,0.0,0.0
201,30150,-0.112501025,150,0.0,571,85650,0.8180937,0.7055927,0.68905187,642.5235835327351,0.0,0.0
203,30450,-0.15618402,150,0.0,574,86100,0.877157,0.72097296,0.71950084,662.6456508802511,0.0,0.0
204,30600,-0.20833337,150,0.0,577,86550,0.8561757,0.64784235,0.64784235,284.4969232605841,0.0,0.0
204,30600,-0.15175676,150,0.0,582,87300,0.8317693,0.6800125,0.6708466,696.8717808983911,0.0,0.0
205,30750,-0.14879519,150,0.0,586,87900,0.8369893,0.6881941,0.6810014,700.0712149266486,0.0,0.0
205,30750,-0.13410342,150,0.0,591,88650,0.849591,0.7154876,0.70547426,755.5199031621218,0.0,0.0
206,30900,-0.13762712,150,0.0,595,89250,0.82463014,0.687003,0.6768338,347.61173075552415,0.0,0.0
208,31200,-0.16875005,150,0.0,598,89700,0.8109314,0.64218134,0.6414779,383.2428240835215,0.0,0.0
208,31200,-0.31175947,150,0.0,602,90300,0.999673,0.68791354,0.68791354,660.5043657738448,0.0,0.0
209,31350,-0.16288918,150,0.0,607,91050,0.82133985,0.65845066,0.65751636,629.7167530950572,0.0,0.0
209,31350,-0.15975213,150,0.0,611,91650,0.839295,0.6795429,0.67404646,672.7060046233825,0.0,0.0
210,31500,-0.1545102,150,0.0,616,92400,0.84732705,0.69281685,0.68964356,489.92201218681254,0.0,0.0
211,31650,-0.10967678,150,0.0,618,92700,0.8901666,0.7804898,0.7632039,366.8367680122398,0.0,0.0
