actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1256,188400,0.3715316,0.20502321,0.05204112,0.16677526,150,0.0,4736,710400,0.32945478,0.4776155,0.6354088,0.52076745,0.7009864,0.68263876,0.68744993,0.68754274,0.32945478,0.34584692,0.37156403,0.34197283,22.5577469273079,0.0,0.0
1264,189600,0.018031836,0.20839551,0.05414941,0.16658118,150,0.0,4762,714300,0.66918224,0.47997922,0.63372964,0.5209805,0.6872141,0.68837464,0.687879,0.68756163,0.21871251,0.345252,0.3729943,0.3420631,20.60218396138479,0.0,0.0
1272,190800,-1.6935723,0.019468045,0.046758443,0.16442151,150,0.0,4785,717750,2.3931532,0.67099464,0.64035296,0.5231572,0.69958085,0.6904627,0.68711126,0.6875787,0.34340084,0.33595702,0.37192252,0.34190333,22.616338446174968,0.0,0.0
1280,192000,0.18202168,-0.108008265,0.031343658,0.1614176,150,0.0,4810,721500,0.50083995,0.79442394,0.65555984,0.5261451,0.6828616,0.6864157,0.6869035,0.6875627,0.3262531,0.37406176,0.375012,0.34230736,22.767010701890698,0.0,0.0
1288,193200,0.32553425,0.14533955,0.049858063,0.1609083,150,0.0,4835,725250,0.37287715,0.54067624,0.6369319,0.5266603,0.6984114,0.6860157,0.68679,0.6875686,0.37287715,0.3341917,0.37244526,0.34234303,20.9389724612063,0.0,0.0
1296,194400,0.15827578,0.17558813,0.05350426,0.16060758,150,0.0,4862,729300,0.5125925,0.51773024,0.6339679,0.52702874,0.6708683,0.6933183,0.68747216,0.6876364,0.29686558,0.33510822,0.369257,0.34246093,20.946707926237774,0.0,0.0
1304,195600,-0.027541399,0.17358445,0.06823824,0.15978009,150,0.0,4888,733200,0.7098514,0.51191556,0.6193435,0.52786285,0.68231,0.6855,0.68758184,0.68764293,0.34780386,0.3582703,0.3681073,0.34272632,22.555655568589874,0.0,0.0
1313,196950,0.20087019,0.025489688,0.07027523,0.15763672,150,0.0,4911,736650,0.48745206,0.66202086,0.61746216,0.53003365,0.68832225,0.68751055,0.6877372,0.6876703,0.33852714,0.34896347,0.3648019,0.3428751,20.052297292533684,0.0,0.0
1321,198150,0.0847069,0.042109706,0.076964326,0.15754116,150,0.0,4933,739950,0.60057795,0.6506663,0.61108303,0.5301773,0.68528485,0.692776,0.68804735,0.68771845,0.44619066,0.35367966,0.36167106,0.34309044,22.714713764082752,0.0,0.0
1329,199350,-0.9369717,0.06721315,0.0776969,0.15606451,150,0.0,4954,743100,1.6317468,0.62357324,0.61000353,0.53167665,0.69477504,0.6907863,0.68770033,0.68774116,0.4090314,0.37082988,0.35979426,0.34350955,22.859633528971113,0.0,0.0
1337,200550,0.16713297,-0.13378415,0.07134414,0.15274328,150,0.0,4982,747300,0.5283662,0.81754476,0.6165025,0.5350271,0.6954992,0.68376064,0.6878466,0.68777037,0.3611908,0.35714108,0.3556568,0.3437212,22.534277395366743,0.0,0.0
1345,201750,0.07286203,0.23834518,0.08608946,0.15260059,150,0.0,5006,750900,0.61830825,0.44820923,0.60202575,0.535157,0.6911703,0.68655443,0.68811506,0.6877576,0.3553912,0.35752422,0.35402817,0.34394166,22.447136383282388,0.0,0.0
1353,202950,0.0794934,0.087455615,0.074234076,0.15119652,150,0.0,5031,754650,0.6081819,0.6050024,0.614537,0.53661215,0.6876753,0.69245803,0.68877107,0.68780863,0.41888204,0.35539612,0.35342848,0.34406117,20.895875537495897,0.0,0.0
