actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
318,47700,0.101620495,0.14919648,0.147685,0.10743122,150,0.0,0.6037769,0.5366492,0.53585696,0.5744259,0.70539737,0.68584573,0.68354195,0.6818571,0.3853524,0.344081,0.3401284,0.36017507,16.59847345741352,0.0,0.0
326,48900,0.1866925,0.1342971,0.14214821,0.10747492,150,0.0,0.47888038,0.56667143,0.54159087,0.5748656,0.6655729,0.7009686,0.683739,0.6823405,0.30642775,0.36966324,0.34035414,0.3604295,16.725877368991917,0.0,0.0
334,50100,0.09467,0.14243256,0.14181748,0.108497985,150,0.0,0.5682049,0.5377508,0.54123735,0.5735919,0.6628749,0.6801833,0.683055,0.68208987,0.3005228,0.3334871,0.33935508,0.35945526,16.57324138410649,0.0,0.0
342,51300,0.09174031,0.1685534,0.14245003,0.109677136,150,0.0,0.59390026,0.5181861,0.54149294,0.57265514,0.6856406,0.68673944,0.68394303,0.68233234,0.3478704,0.34878358,0.341477,0.35947838,15.222899504641958,0.0,0.0
350,52500,0.12903118,0.14033598,0.14313833,0.11062167,150,0.0,0.53163433,0.54631543,0.54087806,0.57175446,0.6606655,0.68665135,0.68401635,0.68237615,0.29561773,0.3488752,0.342003,0.3591274,16.67172753349427,0.0,0.0
354,53100,0.21071702,0.17107242,0.14401488,0.11132087,150,0.0,0.5064511,0.51137185,0.54018205,0.57105494,0.7171681,0.6824443,0.68419677,0.6823758,0.3912178,0.34019673,0.34241885,0.3589137,14.6484634070024,0.0,0.0
362,54300,0.21912834,0.17227249,0.14248943,0.1122895,150,0.0,0.4709768,0.509376,0.5419445,0.56999743,0.69010514,0.68164855,0.6844339,0.6822869,0.35658926,0.337214,0.34289196,0.3582829,14.91188864473129,0.0,0.0
370,55500,0.21957433,0.18175851,0.14462888,0.1135938,150,0.0,0.4587161,0.49609867,0.5393518,0.56862646,0.6782904,0.6778572,0.6839807,0.6822203,0.3331499,0.32901835,0.3419034,0.3576953,16.353141111686586,0.0,0.0
374,56100,0.21096534,0.17885347,0.14728296,0.11466282,150,0.0,0.45144188,0.49651152,0.5365768,0.56754464,0.6624072,0.6753651,0.68385977,0.68220747,0.29949015,0.32564783,0.34174523,0.3574955,14.990572778268518,0.0,0.0
382,57300,0.20914471,0.18238667,0.15040396,0.11585406,150,0.0,0.45252597,0.49678308,0.53310823,0.5662049,0.6616707,0.6791697,0.6835122,0.682059,0.29785752,0.33477142,0.3411056,0.3568561,16.69923413907381,0.0,0.0
